"zip_code","year","avg.house_price"
"60611","2000",342028.75
"60611","2001",387817.75
"60611","2002",422211.666666667
"60611","2003",436476.583333333
"60611","2004",452652
"60611","2005",483820.166666667
"60611","2006",514152
"60611","2007",519227.666666667
"60611","2008",503703.916666667
"60611","2009",474355.583333333
"60611","2010",446543.333333333
"60611","2011",416850.166666667
"60611","2012",404870
"60611","2013",441062.5
"60611","2014",473735.583333333
"60611","2015",477186.5
"60611","2016",483813.583333333
"60611","2017",494116
"60611","2018",490567.666666667
"60611","2019",476628.166666667
"60611","2020",474737.333333333
"60611","2021",481937.666666667
"60612","2000",192719.333333333
"60612","2001",217128.833333333
"60612","2002",236930.5
"60612","2003",264781.583333333
"60612","2004",285161.333333333
"60612","2005",321086.75
"60612","2006",352308.25
"60612","2007",359443.75
"60612","2008",338751.333333333
"60612","2009",290171.75
"60612","2010",256095
"60612","2011",205297.25
"60612","2012",172302.333333333
"60612","2013",182492.25
"60612","2014",204982.333333333
"60612","2015",223676.166666667
"60612","2016",244250.5
"60612","2017",267318.916666667
"60612","2018",285771.166666667
"60612","2019",289511.916666667
"60612","2020",297210.75
"60612","2021",320869.5
"60613","2000",235215.416666667
"60613","2001",271367.583333333
"60613","2002",296292.833333333
"60613","2003",311272.416666667
"60613","2004",326577.083333333
"60613","2005",347486.25
"60613","2006",363019.833333333
"60613","2007",361694.833333333
"60613","2008",345394.5
"60613","2009",315245.5
"60613","2010",304659.583333333
"60613","2011",279987
"60613","2012",266848.5
"60613","2013",284404.333333333
"60613","2014",305243.833333333
"60613","2015",310892.5
"60613","2016",321510.916666667
"60613","2017",336045.583333333
"60613","2018",341825.666666667
"60613","2019",339624.416666667
"60613","2020",341988.75
"60613","2021",360516.166666667
"60614","2000",418722.333333333
"60614","2001",469150.916666667
"60614","2002",502296.583333333
"60614","2003",526657.75
"60614","2004",546692.916666667
"60614","2005",580377.333333333
"60614","2006",612473.083333333
"60614","2007",615592.166666667
"60614","2008",590309.916666667
"60614","2009",545500.833333333
"60614","2010",527284.25
"60614","2011",494970.916666667
"60614","2012",480903.083333333
"60614","2013",523116.916666667
"60614","2014",564140.333333333
"60614","2015",584476.166666667
"60614","2016",605194.666666667
"60614","2017",620764.75
"60614","2018",628044
"60614","2019",621029.75
"60614","2020",618754.833333333
"60614","2021",645705.416666667
"60615","2000",173545.666666667
"60615","2001",191231
"60615","2002",210952.916666667
"60615","2003",230369.333333333
"60615","2004",249858.833333333
"60615","2005",273599
"60615","2006",296525.416666667
"60615","2007",302946.416666667
"60615","2008",292761.166666667
"60615","2009",255878.416666667
"60615","2010",241298.416666667
"60615","2011",206012.416666667
"60615","2012",181951.916666667
"60615","2013",192135.833333333
"60615","2014",204196.333333333
"60615","2015",203967.666666667
"60615","2016",216347.25
"60615","2017",234368.5
"60615","2018",244107.333333333
"60615","2019",247654.666666667
"60615","2020",253787.75
"60615","2021",279674
"60616","2000",195990.25
"60616","2001",216831.583333333
"60616","2002",244556.416666667
"60616","2003",273529.75
"60616","2004",301496.083333333
"60616","2005",330597.75
"60616","2006",350950.25
"60616","2007",355659.5
"60616","2008",348840.083333333
"60616","2009",320374.083333333
"60616","2010",297290.75
"60616","2011",270091.416666667
"60616","2012",250192.916666667
"60616","2013",275562.75
"60616","2014",302162.083333333
"60616","2015",310846.666666667
