"zipcode","year","med_age","med_income","bachelor_hrate","white_rate","black_rate","asian_rate"
60655,2019,39,53636,27.23,89.54,6.6,1.53
60661,2019,31.5,89233,72.79,63.55,4.32,28.49
60827,2019,32.3,23303,6.8,6.85,90.25,0.14
60631,2019,43.2,50244,26.91,87.96,1.18,3.49
60614,2019,30.5,67213,55.15,83.96,4.28,7.29
60615,2019,35.3,32746,34.16,31.08,54.81,8.6
60619,2019,40.9,23305,13.31,1.8,95.72,0.24
60621,2019,34.6,15672,5.19,2.22,95,0.24
60636,2019,41.3,18780,4.69,5.58,87.99,0.08
60639,2019,34,23463,7.18,46.61,13.54,1.45
60643,2019,43.6,33387,20.64,23.28,72.56,0.28
60647,2019,32,41029,38.17,77.53,5.78,3.57
60603,2019,31.2,65125,52.57,62.83,3.9,32.03
60607,2019,30.2,60709,50.61,58.52,14.34,21.66
60609,2019,32.3,21759,8.37,43.85,25.08,6.23
60625,2019,34.9,33056,31.94,65.27,4.83,13.58
60646,2019,43.6,45842,27.63,84.74,1.04,9.73
60652,2019,36.2,30582,12.02,29.1,45.62,1.06
60610,2019,33.4,66991,52.52,72.34,14.9,8.79
60622,2019,32,54818,53.12,80.36,6.46,4.67
60660,2019,36.2,31167,34.85,65.38,13.4,13.64
60602,2019,34.1,101190,75.2,64.1,4.28,21.4
60611,2019,38.9,78263,56.28,75.07,2.91,18.68
60616,2019,38,29646,31.36,31.47,23.65,39.51
60651,2019,33.5,22250,7.7,20.3,51.66,0.54
